time,AT,CH,DE,IT,NL,PL
2008-01-01T00:00:00Z,6080,6668,50115.38462,25631,11072,14003
2008-01-01T01:00:00Z,5822,6463,48023.07692,24321,10437,13317
2008-01-01T02:00:00Z,5436,6305,46171.42857,23448,9920,12830
2008-01-01T03:00:00Z,5253,6102,44921.97802,23151,9558,12614
2008-01-01T04:00:00Z,5260,5977,43168.13187,23522,9428,12417
2008-01-01T05:00:00Z,5015,5668,39865.93407,24304,9496,12353
2008-01-01T06:00:00Z,5243,5398,39958.24176,23707,9718,12179
2008-01-01T07:00:00Z,5442,5223,40248.35165,25178,9962,12012
2008-01-01T08:00:00Z,5829,5491,42403.2967,26886,10262,12369
2008-01-01T09:00:00Z,6150,5621,45275.82418,28427,10934,12843
2008-01-01T10:00:00Z,6413,5433,48569.23077,29371,11437,13235
2008-01-01T11:00:00Z,6365,5780,50274.72527,28574,11772,13655
2008-01-01T12:00:00Z,6276,5881,49862.63736,27267,12003,14125
2008-01-01T13:00:00Z,6271,5815,50015.38462,27006,11972,14344
2008-01-01T14:00:00Z,6280,5836,50453.84615,27502,11789,14757
2008-01-01T15:00:00Z,6632,5854,53524.17582,31524,12293,16307
2008-01-01T16:00:00Z,7176,6074,57918.68132,33490,13861,16727
2008-01-01T17:00:00Z,7265,6123,59035.16484,33870,14235,16786
2008-01-01T18:00:00Z,7120,5971,58319.78022,33923,14157,17028
2008-01-01T19:00:00Z,6866,5939,56267.03297,33437,13883,16659
2008-01-01T20:00:00Z,6474,5921,55609.89011,32097,13288,15923
2008-01-01T21:00:00Z,6790,6333,56504.3956,29280,12516,15157
2008-01-01T22:00:00Z,6412,6300,53446.15385,26140,11756,14031
2008-01-01T23:00:00Z,6138,6604,50623.07692,24598,10907,13207
2008-01-02T00:00:00Z,5836,6602,48224.17582,23416,10139,12784
2008-01-02T01:00:00Z,5682,6533,47152.74725,23040,9857,12593
2008-01-02T02:00:00Z,5481,6459,46824.17582,23120,9800,12645
2008-01-02T03:00:00Z,5543,6232,47458.24176,24240,9748,12858
2008-01-02T04:00:00Z,6062,6242,49894.50549,27259,10085,13734
2008-01-02T05:00:00Z,6643,6108,54336.26374,32142,11117,16141
2008-01-02T06:00:00Z,7453,5441,61315.38462,36810,12737,18314
2008-01-02T07:00:00Z,7912,5440,65363.73626,40923,14416,19064
2008-01-02T08:00:00Z,8245,5558,67514.28571,43092,15392,19723
2008-01-02T09:00:00Z,8378,5896,68876.92308,43371,15890,19975
2008-01-02T10:00:00Z,8511,5774,70202.1978,42583,16072,20262
2008-01-02T11:00:00Z,8380,6007,70576.92308,40903,16017,20289
2008-01-02T12:00:00Z,8276,6025,69949.45055,40650,16050,20493
2008-01-02T13:00:00Z,8165,5857,69245.05495,41621,15966,20317
2008-01-02T14:00:00Z,8131,5807,69372.52747,42586,15850,20402
2008-01-02T15:00:00Z,8401,6040,71413.18681,46264,16114,21927
2008-01-02T16:00:00Z,8897,6400,75807.69231,46126,17608,22070
2008-01-02T17:00:00Z,8806,6441,75782.41758,45388,17131,21843
2008-01-02T18:00:00Z,8449,6354,73893.40659,42902,16524,21717
2008-01-02T19:00:00Z,7999,6345,70558.24176,40361,15841,21159
2008-01-02T20:00:00Z,7488,6375,68492.30769,37217,14934,19990
2008-01-02T21:00:00Z,7661,6713,67795.6044,33719,13987,18618
2008-01-02T22:00:00Z,7124,6593,64036.26374,30699,13152,17298
