time,AT_windspeed,AT_temperature,CH_windspeed,CH_temperature,DE_windspeed,DE_temperature,NL_windspeed,NL_temperature,PL_windspeed,PL_temperature
2008-01-01T00:00:00Z,2.71,-5.437,1.93,-5.786,2.022659,-0.935,1.78,2.603,2.27,-3.147
2008-01-01T01:00:00Z,2.72,-5.631,1.96,-6.052,1.932107,-1.033,1.94,2.495,2.21,-3.236
2008-01-01T02:00:00Z,2.69,-5.799,1.94,-6.19,1.888118,-1.126,2.21,2.351,2.16,-3.33
2008-01-01T03:00:00Z,2.67,-5.931,1.99,-6.395,1.889439,-1.255,2.44,2.204,2.12,-3.43
2008-01-01T04:00:00Z,2.61,-6.11,2.04,-6.636,1.879193,-1.386,2.59,2.111,2.09,-3.521
2008-01-01T05:00:00Z,2.59,-6.244,2.05,-6.896,1.869815,-1.514,2.78,2.05,2.03,-3.616
2008-01-01T06:00:00Z,2.57,-6.356,2.04,-7.084,1.876182,-1.633,2.96,1.983,1.97,-3.717
2008-01-01T07:00:00Z,2.63,-5.933,1.96,-6.853,1.907368,-1.661,2.96,1.852,2.01,-3.541
2008-01-01T08:00:00Z,2.67,-4.448,1.88,-5.541,2.104305,-1.057,3.22,1.946,2.17,-2.767
2008-01-01T09:00:00Z,2.66,-2.95,2.03,-4.159,2.273188,-0.29,3.44,2.138,2.29,-2.011
2008-01-01T10:00:00Z,2.74,-1.839,2.15,-2.9,2.296506,0.376,3.44,2.4,2.38,-1.311
2008-01-01T11:00:00Z,2.81,-1.286,2.46,-1.943,2.264344,0.837,3.45,2.814,2.53,-0.82
2008-01-01T12:00:00Z,2.77,-1.136,2.65,-1.531,2.244516,1.036,3.62,3.157,2.57,-0.76
2008-01-01T13:00:00Z,2.33,-1.408,2.58,-1.503,2.121222,0.836,3.77,3.192,2.44,-1.255
2008-01-01T14:00:00Z,1.88,-2.612,2.1,-2.059,1.919381,-0.225,3.7,2.575,2.66,-2.13
2008-01-01T15:00:00Z,2.07,-4.235,1.75,-3.765,2.183308,-1.65,3.92,1.307,3,-2.53
2008-01-01T16:00:00Z,2.18,-5.108,1.97,-5.095,2.329957,-2.079,4.42,0.689,3.18,-2.806
2008-01-01T17:00:00Z,2.21,-5.734,2.15,-5.941,2.348,-2.299,4.74,0.281,3.31,-3.099
2008-01-01T18:00:00Z,2.21,-6.264,2.29,-6.748,2.333076,-2.497,4.96,-0.135,3.39,-3.419
2008-01-01T19:00:00Z,2.21,-6.716,2.38,-7.378,2.303371,-2.731,4.98,-0.561,3.45,-3.75
2008-01-01T20:00:00Z,2.23,-7.137,2.43,-7.929,2.314297,-2.921,4.95,-0.929,3.58,-4.033
2008-01-01T21:00:00Z,2.25,-7.537,2.63,-8.323,2.324028,-3.104,4.97,-1.085,3.76,-4.246
2008-01-01T22:00:00Z,2.28,-7.91,2.63,-8.828,2.372102,-3.305,4.94,-1.188,3.92,-4.426
